ticket;resposta_NPS;grupo_NPS;Nota_ConhecimentoAgente;Nota_Solucao;Nota_TempoRetorno;Nota_Facilidade;Nota_Satisfacao;cliente
22189460;10;promotor;10;10;10;10;10;TFBKOT
20276541;10;promotor;10;10;10;10;10;TEZIUB
22946730;10;promotor;10;10;10;10;10;TEZHDA
22080627;10;promotor;10;10;10;10;10;TB3721
20557890;10;promotor;10;10;10;10;10;T17271
20395829;10;promotor;10;10;10;10;10;T12825
20484262;10;promotor;10;8;10;9;10;T14081
21634371;5;detrator;6;8;0;5;5;TAAK82
22647745;9;promotor;9;9;9;9;9;TFCCME
19380425;10;promotor;10;10;10;10;10;TFDAJH
20115936;8;passivo;9;9;8;8;9;TDC1KH
20318313;10;promotor;10;10;10;10;10;TFDF96
20922914;10;promotor;10;10;10;10;10;T80088
21240238;10;promotor;10;10;10;10;10;T07884
21795024;10;promotor;10;10;10;10;10;TFDNEH
21575183;10;promotor;10;10;10;10;10;T17094
20004358;0;detrator;0;0;0;0;0;TCANA8
21137515;10;promotor;10;10;10;10;10;TFDDBG
20070247;8;passivo;NULL;NULL;NULL;NULL;NULL;T46457
21421038;10;promotor;NULL;NULL;NULL;NULL;NULL;TEZJ32
21103130;10;promotor;10;10;10;10;8;T61939
21734747;10;promotor;10;10;10;10;10;TFCYOS
21371626;10;promotor;10;10;10;10;10;TFDAKQ
19559743;10;promotor;NULL;NULL;NULL;NULL;NULL;TEYVUM
20847172;10;promotor;NULL;NULL;NULL;NULL;NULL;TFDRFV
19414604;9;promotor;9;10;9;10;10;T58381
20057946;1;detrator;8;1;1;1;1;TEXKQZ
21375576;10;promotor;NULL;NULL;NULL;NULL;NULL;T51693
21235774;10;promotor;10;10;10;10;10;T40143
20355913;10;promotor;10;10;10;10;10;T10680
21628736;10;promotor;10;10;10;10;10;T34142
22160895;10;promotor;10;10;10;7;9;T76590
20706020;10;promotor;10;10;10;10;10;T55754
22134869;10;promotor;10;10;10;10;10;TDC01U
20321830;10;promotor;NULL;NULL;NULL;NULL;NULL;T61988
21148661;10;promotor;10;10;10;10;10;TEZLS0
19572972;10;promotor;10;10;10;10;10;TFBWMA
19042517;10;promotor;NULL;NULL;NULL;NULL;NULL;TAAHTU
21034218;10;promotor;10;10;10;10;10;T15456
20161795;10;promotor;10;10;10;10;10;TFCVXQ
20578634;9;promotor;8;8;8;8;8;TEVVV0
21657750;10;promotor;10;10;10;10;10;TEXKSA
21497325;10;promotor;10;10;10;10;10;T75322
21168762;10;promotor;NULL;NULL;NULL;NULL;NULL;T53787
20986167;10;promotor;10;10;10;10;10;TEWLVK
20064314;10;promotor;10;10;10;10;10;T06937
22217614;10;promotor;10;10;10;10;10;T77520
21349513;10;promotor;10;10;10;10;10;TEZOWC
20372312;10;promotor;10;10;10;10;10;T58381
22167755;5;detrator;NULL;NULL;NULL;NULL;NULL;TFCSJ0
19413827;10;promotor;10;10;10;10;10;T49920
21574834;10;promotor;9;10;10;9;9;T15688
21200915;10;promotor;10;10;10;10;10;T04819
20699722;10;promotor;10;10;10;10;10;T05034
20441659;10;promotor;10;10;10;10;9;T08433
22503993;10;promotor;10;10;10;10;10;T57362
19759131;10;promotor;NULL;NULL;NULL;NULL;NULL;TFCNRP
18905587;8;passivo;8;8;8;8;7;TEXKLM
19207424;10;promotor;10;10;10;10;10;TEZBC6
20647799;7;passivo;8;8;9;7;7;T22870
21904057;10;promotor;10;10;10;10;10;TB2025
20882073;10;promotor;9;10;10;10;10;T50368
21069198;10;promotor;NULL;NULL;NULL;NULL;NULL;T50368
21634625;9;promotor;10;9;5;5;5;T13320
20852980;10;promotor;10;10;10;10;10;TB4671
20243714;10;promotor;10;10;10;10;10;T73876
20512420;10;promotor;10;10;10;10;10;TEZMHC
22817481;10;promotor;10;10;10;10;10;TCBOQQ
22845649;10;promotor;10;10;10;10;10;T16696
20651259;10;promotor;NULL;NULL;NULL;NULL;NULL;TFCSNW
20120309;9;promotor;NULL;NULL;NULL;NULL;NULL;T01259
21187507;10;promotor;10;10;10;10;10;TFCXA8
21018957;10;promotor;10;10;10;10;10;TA2879
19205782;10;promotor;10;10;10;10;10;TEZBMC
22565762;10;promotor;10;10;10;10;10;T23546
22687755;10;promotor;10;10;7;1;10;TEZHIL
22435232;10;promotor;NULL;NULL;NULL;NULL;NULL;T42836
20863060;10;promotor;10;10;10;10;10;T50149
21111675;10;promotor;10;10;10;10;10;TEXKSA
19490097;10;promotor;10;10;10;9;8;T15140
20618045;10;promotor;10;10;10;10;10;T53755
21503268;10;promotor;10;10;10;10;10;T50456
19377498;10;promotor;10;10;10;10;10;T05691
19248106;0;detrator;0;0;0;0;0;T03960
20945371;7;passivo;10;5;10;0;5;TFCFEI
21368719;9;promotor;9;9;9;9;9;T37445
22112616;1;detrator;NULL;NULL;NULL;NULL;NULL;TB2968
20958639;10;promotor;10;10;10;10;10;T03436
20932586;9;promotor;9;9;9;9;9;T35094
20408504;10;promotor;10;10;10;10;10;TEWU57
22522878;10;promotor;NULL;NULL;NULL;NULL;NULL;TEZLAO
22509489;5;detrator;7;7;7;7;7;TFDGGS
20791675;10;promotor;10;10;9;8;9;TEZKK0
22787428;10;promotor;10;10;10;10;10;TEWTZ9
21386726;10;promotor;10;10;10;10;10;T08886
21163169;8;passivo;NULL;NULL;NULL;NULL;NULL;T14119
20559146;10;promotor;10;10;10;10;10;TB0713
20550710;10;promotor;4;10;6;8;3;T48579
21055173;10;promotor;10;10;10;10;10;T14189
18943115;9;promotor;NULL;NULL;NULL;NULL;NULL;T61500
19086874;10;promotor;10;10;10;10;10;T60311
21833891;10;promotor;NULL;NULL;NULL;NULL;NULL;TFCVN8
21640432;4;detrator;10;10;10;10;10;TEZATG
18926538;0;detrator;0;0;0;0;0;TFDEUZ
21127454;10;promotor;10;10;10;10;10;TB3721
19207267;7;passivo;8;8;7;8;8;TEXVBP
22869363;9;promotor;NULL;NULL;NULL;NULL;NULL;TFDRDS
18935826;10;promotor;NULL;NULL;NULL;NULL;NULL;TB3111
20440951;10;promotor;10;10;10;10;10;TDC0IN
22485524;10;promotor;NULL;NULL;NULL;NULL;NULL;TEZOOL
21323510;10;promotor;10;10;10;10;10;T60517
22124645;10;promotor;NULL;NULL;NULL;NULL;NULL;TDC1NV
20676962;9;promotor;9;9;9;9;9;TFCZR8
20557769;10;promotor;10;10;10;10;10;TEYT77
20375736;10;promotor;NULL;NULL;NULL;NULL;NULL;T54038
22430003;10;promotor;10;10;10;10;10;T37932
20416857;10;promotor;6;6;6;6;6;TFCAB2
19388642;9;promotor;10;10;10;8;10;T06619
21335072;10;promotor;10;10;10;10;10;TCAWRC
21328274;10;promotor;10;10;10;10;10;TB4815
22696357;10;promotor;NULL;NULL;NULL;NULL;NULL;T12377
21092487;10;promotor;10;10;10;10;10;TEXKSA
19525648;5;detrator;4;9;3;5;3;TEZGO9
22616029;10;promotor;10;10;10;10;10;TB4095
21057597;10;promotor;10;10;10;10;10;TFCZUL
21016529;10;promotor;10;10;10;9;8;TEZDFJ
21199754;10;promotor;10;10;10;10;10;T46391
22633124;10;promotor;10;10;10;10;10;T59746
20696299;10;promotor;10;10;10;10;10;TFCNRP
21643896;10;promotor;10;10;10;10;10;TFDF96
20228498;10;promotor;10;10;10;8;9;TFDNYX
21491166;10;promotor;10;10;10;5;0;TA6139
20138132;9;promotor;10;10;10;10;10;TEZCYO
20919545;10;promotor;10;10;10;10;10;TFCZN5
23011531;10;promotor;NULL;NULL;NULL;NULL;NULL;TFDOPT
19796798;10;promotor;NULL;NULL;NULL;NULL;NULL;T55554
22641078;10;promotor;10;10;10;10;10;T61431
19741731;10;promotor;9;10;9;10;10;TA8688
21217593;10;promotor;NULL;NULL;NULL;NULL;NULL;TEXPSQ
19610636;9;promotor;9;10;10;9;10;TEZEG1
20577318;9;promotor;NULL;NULL;NULL;NULL;NULL;TDC1KY
21599446;10;promotor;10;10;10;10;10;TFDTMF
20422976;10;promotor;10;10;10;10;10;TEZOF5
20396829;10;promotor;10;10;10;10;10;T74367
21207217;9;promotor;9;9;9;9;9;T76806
19313183;0;detrator;3;2;0;1;1;TA2879
21742317;10;promotor;10;10;10;10;10;T53787
19820806;10;promotor;10;10;10;10;10;T01259
21286923;10;promotor;10;10;10;10;10;T58381
20555654;10;promotor;10;10;10;10;10;TFCKTL
22497421;9;promotor;9;9;9;9;9;TFCLHU
22522388;10;promotor;10;10;10;10;10;TFBO12
20058406;10;promotor;10;10;10;10;8;TFCNRP
22860935;10;promotor;10;10;10;8;10;T28165
19785107;10;promotor;10;10;10;10;10;TEZBC6
19495807;10;promotor;10;10;10;10;10;T03960
19969050;10;promotor;10;10;10;10;10;TEZMHC
19660684;10;promotor;10;10;10;10;10;TC1348
21207699;10;promotor;10;10;10;10;10;T03455
19355638;9;promotor;9;9;9;9;9;TFD975
19070965;10;promotor;10;10;10;10;10;TB0458
20563598;10;promotor;10;10;10;10;10;T00538
22900201;10;promotor;NULL;NULL;NULL;NULL;NULL;TFCKOR
19295219;10;promotor;10;10;10;10;10;TEVVV4
21221577;10;promotor;10;10;10;10;10;T55328
19249704;10;promotor;10;10;10;10;10;TEZAP4
22344120;10;promotor;10;10;10;10;10;T58470
20662351;8;passivo;NULL;NULL;NULL;NULL;NULL;TFDBJH
19167136;10;promotor;NULL;NULL;NULL;NULL;NULL;TB5129
21669355;10;promotor;10;10;10;10;10;TFDQQG
19733534;10;promotor;10;10;10;10;10;T77096
21596285;10;promotor;10;10;10;10;10;TEZGB5
19613847;10;promotor;10;10;10;10;10;T27027
21991419;8;passivo;8;8;8;8;8;TFCODW
20415384;10;promotor;10;10;10;10;10;TB3721
22328240;10;promotor;10;10;10;9;10;TFBTO8
20540465;10;promotor;10;10;10;6;0;TFBWZ2
19608512;10;promotor;NULL;NULL;NULL;NULL;NULL;T07884
21551886;10;promotor;10;10;10;10;10;TFCLHU
19983549;9;promotor;NULL;NULL;NULL;NULL;NULL;TFCSCT
21930210;10;promotor;9;9;10;9;10;T04491
21410011;10;promotor;10;10;10;10;10;TEZH10
19967588;10;promotor;10;8;10;9;9;T53780
22836397;10;promotor;NULL;NULL;NULL;NULL;NULL;TDC1J9
19690227;10;promotor;10;10;10;10;10;TEXKL8
20268697;10;promotor;10;10;10;10;10;TB3493
21749179;10;promotor;10;10;10;10;10;TA0719
21712211;10;promotor;10;10;10;10;10;TFDRG5
19843598;10;promotor;NULL;NULL;NULL;NULL;NULL;T35673
22171176;8;passivo;8;8;8;8;8;TFCODW
21114844;10;promotor;10;10;10;10;10;TDC0IN
21334298;10;promotor;10;10;7;10;10;T40143
18927767;8;passivo;8;8;8;8;8;TFCVYU
21229106;10;promotor;10;10;10;10;10;TFCA40
22337086;9;promotor;9;9;9;9;9;TFBRNO
20550477;10;promotor;10;10;10;10;10;TFDBKE
22372342;10;promotor;10;9;9;9;9;TEZJDA
19235988;10;promotor;10;10;10;10;10;T55699
20280335;10;promotor;10;10;10;10;10;T13629
18980331;0;detrator;0;0;0;0;0;T34142
19149888;10;promotor;NULL;NULL;NULL;NULL;NULL;T16607
22035587;10;promotor;NULL;NULL;NULL;NULL;NULL;TFCVO9
21008251;10;promotor;10;10;10;10;10;TB1005
21228003;10;promotor;NULL;NULL;NULL;NULL;NULL;TFCWQY
20947016;10;promotor;10;10;10;10;10;TFCZN5
19541637;10;promotor;10;10;10;10;10;T07472
21750834;10;promotor;10;10;10;10;10;TEZJDA
21097524;7;passivo;9;6;9;4;6;T75868
19860301;10;promotor;10;10;10;10;10;TEZOOU
21147521;10;promotor;NULL;NULL;NULL;NULL;NULL;TFCSJ0
22492539;2;detrator;5;0;9;0;0;T34103
21784579;8;passivo;7;9;9;9;9;TB2401
20756576;10;promotor;10;10;10;10;10;TEZGMI
21800028;10;promotor;10;10;10;10;10;TFCNEE
21852137;10;promotor;10;10;10;10;10;T35866
19743705;10;promotor;10;10;10;10;10;TEWU57
20122297;0;detrator;3;0;0;2;0;T36739
19697757;10;promotor;NULL;NULL;NULL;NULL;NULL;T29964
21406544;10;promotor;NULL;NULL;NULL;NULL;NULL;T09755
19685916;10;promotor;10;10;7;9;8;T17094
20150359;8;passivo;9;9;8;8;8;T10413
20346728;5;detrator;8;5;8;8;8;TFCBC1
22514861;10;promotor;10;10;10;10;10;TEWGR8
19136424;10;promotor;10;10;10;10;10;TFDDBG
21276776;10;promotor;9;10;10;10;10;TCAWPS
19800797;10;promotor;NULL;NULL;NULL;NULL;NULL;TFBTO8
22686828;10;promotor;10;10;10;10;8;T42091
21018797;10;promotor;10;10;10;10;10;T07947
19788332;10;promotor;10;10;10;10;10;TFDPFL
21654670;7;passivo;10;1;9;6;1;T49634
19923103;10;promotor;10;10;10;10;10;TFCNRP
21551810;10;promotor;10;10;10;10;10;TEZHZZ
21435613;10;promotor;NULL;NULL;NULL;NULL;NULL;TFCSI8
21570105;10;promotor;NULL;NULL;NULL;NULL;NULL;TFBWZ2
19684780;9;promotor;9;9;9;9;9;T98737
22632801;10;promotor;10;10;10;10;10;T53231
20491106;10;promotor;10;10;10;10;10;T29710
19910707;1;detrator;1;1;1;1;1;T32484
21640803;10;promotor;10;10;10;10;10;T31926
21337615;5;detrator;NULL;NULL;NULL;NULL;NULL;T50725
20066202;9;promotor;10;10;9;9;9;T17094
21707794;10;promotor;10;10;10;10;10;T41917
19278472;0;detrator;NULL;NULL;NULL;NULL;NULL;TFCWLD
21167268;10;promotor;10;10;10;10;10;T02282
20316378;8;passivo;8;8;8;8;8;TFCVYU
20967033;10;promotor;10;10;10;10;10;TFBWMA
21969333;10;promotor;10;10;10;10;10;TEZE63
22804708;10;promotor;NULL;NULL;NULL;NULL;NULL;T31812
19858543;10;promotor;10;10;10;10;10;TEWP22
22603115;10;promotor;10;10;8;10;8;T07049
21644902;10;promotor;10;10;10;10;10;T14749
22309018;10;promotor;NULL;NULL;NULL;NULL;NULL;TFCT08
20957559;0;detrator;NULL;NULL;NULL;NULL;NULL;T01259
19129651;10;promotor;10;10;10;10;10;TEZIUB
21440197;10;promotor;10;10;10;10;10;T57253
20934296;10;promotor;10;10;10;10;10;TEZH10
22746551;8;passivo;10;10;10;8;10;TFDFT4
21262568;3;detrator;10;0;10;3;0;T77135
20402645;10;promotor;10;10;10;10;10;TFCVOB
19082040;10;promotor;10;10;10;10;10;TEZBOG
19597069;9;promotor;NULL;NULL;NULL;NULL;NULL;TFCNRP
22394782;0;detrator;10;0;10;0;0;TEYJ64
21219783;10;promotor;10;10;10;10;10;TFDTVN
19547700;10;promotor;10;9;10;10;10;T33882
19434016;10;promotor;NULL;NULL;NULL;NULL;NULL;TFCMNJ
20130208;10;promotor;10;10;10;10;10;TFDPXM
21894635;10;promotor;9;9;9;9;9;T51693
21616145;10;promotor;NULL;NULL;NULL;NULL;NULL;T08810
20263522;10;promotor;10;10;10;10;10;T46457
20723443;10;promotor;10;10;10;10;9;TEZFXH
22511655;9;promotor;9;9;9;9;9;T79572
22864937;10;promotor;10;10;10;10;10;TFBWMA
21399837;10;promotor;10;10;9;10;9;T04506
22635463;9;promotor;NULL;NULL;NULL;NULL;NULL;T55328
22132781;10;promotor;10;10;10;10;10;TB3721
20521416;10;promotor;10;10;10;10;10;T84117
21704388;10;promotor;10;10;10;10;10;TDC099
19833713;10;promotor;10;10;10;10;10;T46764
19389732;10;promotor;10;8;7;9;8;T32848
18919518;8;passivo;NULL;NULL;NULL;NULL;NULL;TFCX76
19053324;10;promotor;NULL;NULL;NULL;NULL;NULL;T34142
18975498;4;detrator;4;0;2;0;0;TFAB04
22262245;10;promotor;NULL;NULL;NULL;NULL;NULL;TFCT08
19406518;10;promotor;10;10;10;10;10;TFDDLC
21759920;9;promotor;NULL;NULL;NULL;NULL;NULL;T04065
20041522;10;promotor;NULL;NULL;NULL;NULL;NULL;T13047
20984685;7;passivo;10;0;10;1;4;T09092
19172104;10;promotor;10;10;10;10;10;TEZCYO
20170295;10;promotor;10;10;10;10;10;T77520
22804980;10;promotor;10;10;10;10;10;T47526
20666607;10;promotor;10;10;10;10;10;TEZJIJ
22516624;10;promotor;NULL;NULL;NULL;NULL;NULL;T74600
21592815;10;promotor;10;10;10;10;10;T55754
22308954;8;passivo;NULL;NULL;NULL;NULL;NULL;TDC520
19511279;10;promotor;10;10;10;10;10;T76806
21851165;5;detrator;3;3;1;1;3;TDC1KH
21280988;10;promotor;NULL;NULL;NULL;NULL;NULL;TFDJLF
22900077;10;promotor;10;10;10;10;10;TFDF96
21568832;9;promotor;NULL;NULL;NULL;NULL;NULL;TFEBPL
19778843;10;promotor;10;10;10;10;10;TFCXVK
22647696;9;promotor;10;10;10;10;10;TFCT26
21649918;10;promotor;10;10;10;10;10;T03455
19247618;8;passivo;8;8;8;8;8;T60311
19380057;10;promotor;10;10;10;10;10;TDC0YR
21554850;7;passivo;8;7;7;7;7;T05691
19181083;10;promotor;10;10;10;10;10;TFC668
21561366;8;passivo;9;10;7;9;9;TB2097
22892185;10;promotor;10;10;10;10;10;TA3126
20417540;9;promotor;9;9;9;9;9;TDC099
21369905;5;detrator;7;8;0;4;0;TFBK96
21670157;10;promotor;10;10;10;10;10;TFD578
23032873;10;promotor;10;10;10;10;10;TB3721
22124551;9;promotor;10;10;10;10;10;TFCT26
19068418;10;promotor;10;10;10;10;10;TA2879
21623008;10;promotor;10;10;10;10;10;T04028
20048857;10;promotor;NULL;NULL;NULL;NULL;NULL;T17891
22391239;10;promotor;10;10;10;10;10;TFCCWQ
20257375;10;promotor;NULL;NULL;NULL;NULL;NULL;T33319
20716539;10;promotor;10;10;7;9;10;TC7801
21416174;10;promotor;10;10;10;10;10;TB0713
20535351;10;promotor;10;10;10;10;10;TEZN39
22475880;10;promotor;10;10;10;10;10;T14081
19246211;0;detrator;10;0;0;0;10;T03960
19964193;10;promotor;10;10;10;10;10;T05953
20571873;10;promotor;10;10;10;10;10;T43087
21719261;10;promotor;10;10;10;10;10;T17094
21568416;10;promotor;10;10;10;10;10;T35463
22000470;10;promotor;10;10;8;10;10;TEZOOU
20915721;9;promotor;8;9;7;9;8;TEZGIV
21133531;10;promotor;10;10;10;10;10;T12377
22823342;10;promotor;10;10;10;10;10;T60458
21770493;10;promotor;10;10;10;10;10;TEZNGU
